,Area,Classification
549,BE_91034,2
550,BE_91054,2
551,BE_91059,2
552,BE_91064,2
553,BE_91072,2
554,BE_91103,2
555,BE_91114,1
556,BE_91120,2
557,BE_91141,2
558,BE_91142,2
559,BE_91143,2
560,BE_92003,1
561,BE_92006,2
562,BE_92035,2
563,BE_92045,2
564,BE_92048,2
565,BE_92054,2
566,BE_92087,2
567,BE_92094,3
568,BE_92097,2
569,BE_92101,2
570,BE_92114,0
571,BE_92137,2
572,BE_92138,2
573,BE_92140,2
574,BE_92141,2
575,BE_92142,1
576,BE_93010,2
577,BE_93014,1
578,BE_93018,0
579,BE_93022,2
580,BE_93056,2
581,BE_93088,2
582,BE_93090,2
583,ES_01001,0
584,ES_01002,2
585,ES_01003,2
586,ES_01004,0
587,ES_01006,0
588,ES_01008,2
589,ES_01009,2
590,ES_01010,2
591,ES_01011,0
592,ES_01013,2
593,ES_01014,0
594,ES_01016,2
595,ES_01017,2
596,ES_01018,2
597,ES_01019,0
598,ES_01020,0
599,ES_01021,0
600,ES_01022,0
601,ES_01023,0
602,ES_01027,0
603,ES_01028,0
604,ES_01030,0
605,ES_01031,2
606,ES_01032,0
607,ES_01033,0
608,ES_01034,0
609,ES_01036,2
610,ES_01037,2
611,ES_01039,0
612,ES_01041,0
613,ES_01042,0
614,ES_01043,0
615,ES_01044,0
616,ES_01046,2
617,ES_01047,0
618,ES_01049,0
619,ES_01051,0
620,ES_01052,0
621,ES_01053,2
622,ES_01054,0
623,ES_01055,2
624,ES_01056,0
625,ES_01057,0
626,ES_01058,0
627,ES_01060,0
628,ES_01061,0
629,ES_01062,2
630,ES_01063,2
631,ES_01901,2
632,ES_01902,0
633,ES_02001,0
634,ES_02002,0
635,ES_02004,0
636,ES_02005,0
637,ES_02006,0
638,ES_02007,2
639,ES_02008,2
640,ES_02009,1
641,ES_02010,2
642,ES_02011,2
643,ES_02012,0
644,ES_02013,0
645,ES_02014,0
646,ES_02015,2
647,ES_02016,0
648,ES_02017,2
649,ES_02018,0
650,ES_02019,2
651,ES_02020,0
652,ES_02021,0
653,ES_02022,0
654,ES_02023,0
655,ES_02024,2
656,ES_02025,2
657,ES_02026,0
658,ES_02027,0
659,ES_02028,0
660,ES_02029,1
661,ES_02030,2
662,ES_02031,0
663,ES_02032,0
664,ES_02033,2
665,ES_02034,0
666,ES_02035,2
667,ES_02036,0
668,ES_02037,3
669,ES_02038,0
670,ES_02039,2
671,ES_02040,0
672,ES_02041,0
673,ES_02042,2
674,ES_02043,2
675,ES_02044,2
676,ES_02045,2
677,ES_02046,0
678,ES_02047,0
679,ES_02048,0
680,ES_02049,2
681,ES_02050,0
682,ES_02051,0
683,ES_02052,0
684,ES_02053,2
685,ES_02054,0
686,ES_02055,2
687,ES_02056,0
688,ES_02057,2
689,ES_02058,0
690,ES_02059,0
691,ES_02060,2
692,ES_02061,0
693,ES_02062,0
694,ES_02063,2
695,ES_02064,0
696,ES_02065,0
697,ES_02066,0
698,ES_02067,2
699,ES_02068,0
700,ES_02069,1
701,ES_02070,0
702,ES_02071,0
703,ES_02072,2
704,ES_02073,2
705,ES_02074,2
706,ES_02075,0
707,ES_02076,0
708,ES_02077,0
709,ES_02078,0
710,ES_02079,2
711,ES_02080,0
712,ES_02081,1
713,ES_02082,0
714,ES_02083,0
715,ES_02084,2
716,ES_02085,0
717,ES_02086,1
718,ES_02901,0
719,ES_03001,0
720,ES_03002,2
721,ES_03003,0
722,ES_03004,0
723,ES_03005,2
724,ES_03006,0
725,ES_03007,0
726,ES_03008,0
727,ES_03009,1
728,ES_03010,0
729,ES_03011,2
730,ES_03012,2
731,ES_03013,0
732,ES_03015,1
733,ES_03016,0
734,ES_03017,0
735,ES_03018,2
736,ES_03019,2
737,ES_03020,0
738,ES_03021,2
739,ES_03022,0
740,ES_03023,0
741,ES_03024,0
742,ES_03025,0
743,ES_03026,0
